forpa,tailo,sampa,ipa,ipa_tone
din,tin,d-in,t-in,t-in_{0}
ding,ting,d-iN,t-iŋ,t-iŋ_{0}
dinn,tinn,d-i~,t-ĩ,t-ĩ_{0}
dinnh,tinnh,d-i~?,t-ĩʔ,t-ĩʔ_{0}
dioh,tiooh,d-i-O?,t-i-ɔʔ,t-i_{0}-ɔʔ_{0}
diok,tiok,d-i-Ok,t-i-ɔk,t-i_{0}-ɔk_{0}
diong,tiong,d-i-ON,t-i-ɔŋ,t-i_{0}-ɔŋ_{0}
dionn,tionn,d-i~-o~,t-i-ɔ̃,t-i_{0}-ɔ̃_{0}
dip,tip,d-ip,t-ip,t-ip_{0}
dit,tit,d-it,t-it,t-it_{0}
diu,tiu,d-i-u,t-i-u,t-i_{0}-u_{0}
diuh,tiuh,d-i-u?,t-i-uʔ,t-i_{0}-uʔ_{0}
diunn,tiunn,d-i~-u~,t-i-ũ,t-i_{0}-ũ_{0}
dng,tng,d-@N,t-ŋ̩,t-ŋ̩_{0}
do,too,d-O,t-ɔ,t-ɔ_{0}
doh,tooh,d-O?,t-ɔʔ,t-ɔʔ_{0}
dok,tok,d-Ok,t-ɔk,t-ɔk_{0}
dom,tom,d-Om,t-ɔm,t-ɔm_{0}
dong,tong,d-ON,t-ɔŋ,t-ɔŋ_{0}
donn,tonn,d-o~,t-ɔ̃,t-ɔ̃_{0}
dop,top,d-Op,t-ɔp,t-ɔp_{0}
du,tu,d-u,t-u,t-u_{0}
dua,tua,d-u-a,t-u-a,t-u_{0}-a_{0}
duah,tuah,d-u-a?,t-u-aʔ,t-u_{0}-aʔ_{0}
duai,tuai,d-u-ai,t-u-ai,t-u_{0}-ai_{0}
duan,tuan,d-u-an,t-u-an,t-u_{0}-an_{0}
duann,tuann,d-u~-a~,t-u-ã,t-u_{0}-ã_{0}
duat,tuat,d-u-at,t-u-at,t-u_{0}-at_{0}
due,tue,d-u-E,t-u-e,t-u_{0}-e_{0}
dueh,tueh,d-u-E?,t-u-eʔ,t-u_{0}-eʔ_{0}
duh,tuh,d-u?,t-uʔ,t-uʔ_{0}
dui,tui,d-u-i,t-u-i,t-u_{0}-i_{0}
duinn,tuinn,d-u~-i~,t-u-ĩ,t-u_{0}-ĩ_{0}
dun,tun,d-un,t-un,t-un_{0}
dut,tut,d-ut,t-ut,t-ut_{0}
e,e,E,e,e_{0}
eh,eh,E?,eʔ,eʔ_{0}
en,ian,i-En,i-en,i_{0}-en_{0}
enn,enn,e~,ẽ,ẽ_{0}
ennh,ennh,e~?,ẽʔ,ẽʔ_{0}
er,o,@,ə,ə_{0}
er,er,@,ə,ə_{0}
erh,oh,@?,əʔ,əʔ_{0}
ernn,onn,o~,ɔ̃,ɔ̃_{0}
et,iat,i-Et,i-et,i_{0}-et_{0}
ga,ka,g-a,k-a,k-a_{0}
gah,kah,g-a?,k-aʔ,k-aʔ_{0}
gai,kai,g-ai,k-ai,k-ai_{0}
gainn,kainn,g-a~i~,k-ãi,k-ãi_{0}
gak,kak,g-ak,k-ak,k-ak_{0}
gam,kam,g-am,k-am,k-am_{0}
gan,kan,g-an,k-an,k-an_{0}
gang,kang,g-aN,k-aŋ,k-aŋ_{0}
gann,kann,g-a~,k-ã,k-ã_{0}
gap,kap,g-ap,k-ap,k-ap_{0}
gat,kat,g-at,k-at,k-at_{0}
gau,kau,g-au,k-au,k-au_{0}
gauh,kauh,g-au?,k-auʔ,k-auʔ_{0}
ge,ke,g-E,k-e,k-e_{0}
geh,keh,g-E?,k-eʔ,k-eʔ_{0}
gen,kian,g-i-En,k-i-en,k-i_{0}-en_{0}
genn,kenn,g-e~,k-ẽ,k-ẽ_{0}
gennh,kennh,g-e~?,k-ẽʔ,k-ẽʔ_{0}
ger,ko,g-@,k-ə,k-ə_{0}
ger,ker,g-@,k-ə,k-ə_{0}
gerh,koh,g-@?,k-əʔ,k-əʔ_{0}
